WMOID  STATION NAME                   COUNTRY                                            STATE                          COUNTY                         CD LATITUDE LONGITUDE ELEVATION
43497  HAMBANTOTA                     SRI LANKA                                                                                                                607      8108        20
43555  MALE                           MALDIVES                                                                                                                 412      7332         2
44212  ULAAN-GOM                      MONGOLIA                                                                                                                4959      9205       939
44218  HOVD                           MONGOLIA                                                                                                                4801      9134      1405
44231  MUREN                          MONGOLIA                                                                                                                4934     10010      1283
44239  BULGAN                         MONGOLIA                                                                                                                4848     10333      1208
44259  CHOIBALSAN                     MONGOLIA                                                                                                                4805     11433        47
44272  ULIASTAI                       MONGOLIA                                                                                                                4745      9651      1759
44288  ARVAIHEER                      MONGOLIA                                                                                                                4616     10247      1813
44341  MANDALGOBI                     MONGOLIA                                                                                                                4546     10617      1393
44373  DALANZADGAD                    MONGOLIA                                                                                                                4358     10441      1465
44454  KATHMANDU AIRPORT              NEPAL                                                                                                                    270      8522      1337
47014  CHUNGGANG                      KOREA, NORTH                                                                                                            4147     12653       331
47112  INCHON                         KOREA, SOUTH                                                                                                            3729     12638         0
47115  ULLUNGDO                       KOREA, SOUTH                                                                                                            3729     13054       220
47165  MOKP'O                         KOREA, SOUTH                                                                                                            3447     12623        39
47401  WAKKANAI                       JAPAN                                                                                                                   3805     14141      1361
47420  NEMURO                         JAPAN                                                                                                                   4320     14535        39
47582  AKITA                          JAPAN                                                                                                                   3943     14006        21
47600  WAJIMA                         JAPAN                                                                                                                   3723     13654        14
47648  CHOSHI                         JAPAN                                                                                                                   3544     14052        28
47778  SHIONOMISAKI                   JAPAN                                                                                                                   3327     13546         5
47815  OITA                           JAPAN                                                                                                                   3314     13137        13
47817  NAGASAKI                       JAPAN                                                                                                                   3244     12952        35
47927  MIYAKOJIMA                     JAPAN                                                                                                                   2447     12517        41
47936  NAHA                           JAPAN                                                                                                                   2612     12741        53
47945  MINAMIDAITOJIMA                JAPAN                                                                                                                   2550     13114        20
47971  CHICHIJIMA                     JAPAN                                                                                                                   2705     14211         8
47991  MARCUS ISLAND WB               JAPAN                                              HAWAII                         Kauai                          02     24.3 153.96667        20
48042  MANDALAY                       BURMA                                                                                                                   2159      9606         6
48062  SITTWE                         BURMA                                                                                                                   2008      9253         5
48097  YANGON                         BURMA                                                                                                                   1646      9610        15
48303  CHIANG RAI                     THAILAND                                                                                                                1955      9950       395
48400  NAKHON SAWAN                   THAILAND                                                                                                                1548     10010        35
48407  UBON RATCHATHANI               THAILAND                                                                                                                1515     10452       127
48462  ARANYAPRATHET                  THAILAND                                                                                                                1342     10235        49
48500  PRACHUAP KHIRIKHAN             THAILAND                                                                                                                1150      9950         5
48568  SONGKHLA                       THAILAND                                                                                                                 712     10036         9
48620  SITIAWAN                       MALAYSIA                                                                                                                 413     10042         8
48657  KUANTAN                        MALAYSIA                                                                                                                 347     10313        16
48855  DA NANG                        VIETNAM                                                                                                                 1602     10811         7
48900  HO CHI MINH                    VIETNAM                                                                                                                 1049     10640         5
50527  HAILAR                         CHINA                                                                                                                   4913     11945       611
50745  QIQIHAR                        CHINA                                                                                                                   4723     12355       148
51076  ALTAY                          CHINA                                                                                                                   4744      8805        37
51463  URUMQI                         CHINA                                                                                                                   4347      8737       947
51709  KASHI                          CHINA                                                                                                                   3928      7559      1291
51777  RUOQIANG                       CHINA                                                                                                                   3902      8810       889
51828  HOTAN                          CHINA                                                                                                                   3708      7956      1375
52203  HAMI                           CHINA                                                                                                                   4249      9331        39
52533  JIUQUAN                        CHINA                                                                                                                   3946      9829      1478
52836  DULAN                          CHINA                                                                                                                   3618      9806      3192
52889  LANZHOU                        CHINA                                                                                                                   3603     10353      1518
53068  ERENHOT                        CHINA                                                                                                                   4339     11200       966
53614  YINCHUAN                       CHINA                                                                                                                   3829     10613      1112
53772  TAIYUAN                        CHINA                                                                                                                   3747     11233        79
54342  SHENYANG                       CHINA                                                                                                                   4146     12326        43
54511  BEIJING                        CHINA                                                                                                                   3956     11617        55
54857  QINGDAO                        CHINA                                                                                                                   3604     12020         7
55591  LHASA                          CHINA                                                                                                                   2940      9108      3650
56137  QAMDO                          CHINA                                                                                                                   3109      9710      3307
56294  CHENGDU                        CHINA                                                                                                                   3040     10401       508
56571  XICHANG                        CHINA                                                                                                                   2754     10216      1599
56739  TENGCHONG                      CHINA                                                                                                                   2507      9829      1649
56985  MENGZI                         CHINA                                                                                                                   2323     10323      1302
57036  XI'AN                          CHINA                                                                                                                   3418     10856       398
57083  ZHENGZHOU                      CHINA                                                                                                                   3443     11339       111
57461  YICHANG                        CHINA                                                                                                                   3042     11118       134
57745  ZHIJIANG                       CHINA                                                                                                                   2727     10941       273
57993  GANZHOU                        CHINA                                                                                                                   2551     11457       138
58362  SHANGHAI                       CHINA                                                                                                                   3112     12124         4
58606  NANCHANG                       CHINA                                                                                                                   2836     11555        50
59287  GUANGZHOU                      CHINA                                                                                                                   2308     11319        42
59316  SHANTOU                        CHINA                                                                                                                   2324     11641         3
59431  NANNING                        CHINA                                                                                                                   2249     10821       126
59758  HAIKOU                         CHINA                                                                                                                   2002     11021        24
60010  IZANA, CAN                     SPAIN                                                                                                                   2818     -1629      2368
60040  LANZAROTE AP CAN               SPAIN                                                                                                                   2857     -1337        21
60156  CASABLANCA/NOUASSEUR           MOROCCO                                                                                                                 3322      -735       206
60265  OUARZAZATE                     MOROCCO                                                                                                                 3056      -654      1140
60338  MELILLA AP                     SPAIN                                                                                                                   3517      -257        55
60390  DAR-EL-BEIDA                   ALGERIA                                                                                                                 3643       315        29
60590  EL GOLEA                       ALGERIA                                                                                                                 3034       252       403
60611  IN AMENAS                      ALGERIA                                                                                                                 2803       938       562
60680  TAMANRASSET                    ALGERIA                                                                                                                 2247       531      1364
60725  JENDOUBA                       TUNISIA                                                                                                                 3629       848       144
60765  GABES                          TUNISIA                                                                                                                 3353      1006         5
61017  BILMA                          NIGER                                                                                                                   1841      1255       357
61024  AGADEZ                         NIGER                                                                                                                   1658       759       502
