WMOID STATION NAME                   YEAR MONTHS OF DATA AVAILABLE
86297 ENCARNACION                    2003 12
82425 COARI                          2001 12
82425 COARI                          2000 12
82571 BARRA DO CORDA                 2005 5
82571 BARRA DO CORDA                 2004 12
82571 BARRA DO CORDA                 1998 12
82704 CRUZEIRO DO SUL                1995 1
82825 PORTO VELHO                    2004 12
83229 SALVADOR                       1998 12
83236 BARREIRAS                      1997 12
83264 VERA (GLEBA CELESTE)           2000 12
83264 VERA (GLEBA CELESTE)           1995 1
83361 CUIABA                         2000 12
83361 CUIABA                         1995 1
83498 CARAVELAS                      2000 12
83618 TRES LAGOAS                    1996 12
84377 IQUITOS                        2002 12
84377 IQUITOS                        2000 12
84377 IQUITOS                        1995 1
84444 CHACHAPOYAS                    2000 12
84444 CHACHAPOYAS                    1998 12
78767 PUERTO LIMON                   1998 12
78897 LE RAIZET, GLP                 2005 5
78954 GRANTLEY ADAMS                 1999 12
78954 GRANTLEY ADAMS                 1997 12
80001 SAN ANDRES                     2005 5
80001 SAN ANDRES                     2003 12
80001 SAN ANDRES                     1996 12
80241 LAS GAVIOTAS                   2002 12
80259 CALI ALFONSO BONILLO           2005 5
80259 CALI ALFONSO BONILLO           2003 12
80259 CALI ALFONSO BONILLO           1996 12
80342 ANTONIO AP                     1999 12
80342 ANTONIO AP                     1997 12
80342 ANTONIO AP                     1996 12
80423 GUIRIA                         2002 12
80423 GUIRIA                         1998 12
80423 GUIRIA                         1997 12
80438 MERIDA                         2005 5
80438 MERIDA                         2003 12
80438 MERIDA                         1995 1
80450 SAN FERNANDO DE APURE          2002 12
80453 TUMEREMO                       2001 12
80462 SANTA ELENA DE UAIREN          1997 12
81405 CAYENNE ROCHAMBEAU GUF         2002 12
82024 BOA VISTA                      2001 12
82106 SAO GABRIEL DA CACHOEIR        2001 12
82106 SAO GABRIEL DA CACHOEIR        2000 12
82106 SAO GABRIEL DA CACHOEIR        1995 1
82331 MANAUS                         2002 12
82331 MANAUS                         2001 12
72583 WINNEMUCCA AP                  2003 12
72583 WINNEMUCCA AP                  2001 12
72594 EUREKA WFO WOODLEY IS          2001 12
72613 MT WASHINGTON                  1995 1
72617 BURLINGTON WSO AP              2001 12
72617 BURLINGTON WSO AP              1999 12
72617 BURLINGTON WSO AP              1998 12
72654 HURON AP                       2001 12
72654 HURON AP                       1997 12
72654 HURON AP                       1996 12
72654 HURON AP                       1995 1
72658 MINNEAPOLIS/ST PAUL AP         2003 12
72658 MINNEAPOLIS/ST PAUL AP         2002 12
72658 MINNEAPOLIS/ST PAUL AP         2001 12
72658 MINNEAPOLIS/ST PAUL AP         1998 12
72681 BOISE AIR TERMINAL             1996 12
72688 PENDLETON E OR RGNL AP         1999 12
72688 PENDLETON E OR RGNL AP         1997 12
72688 PENDLETON E OR RGNL AP         1995 1
72712 CARIBOU WFO                    2000 12
72764 BISMARCK MUNI AP               2000 12
72764 BISMARCK MUNI AP               1997 12
72772 HELENA AP ASOS                 1998 12
74492 BLUE HILL                      1996 12
74492 BLUE HILL                      1995 1
76311 CHOIX, SIN                     1996 12
76393 MONTERREY, NL                  2003 12
76577 GUANAJUATO, GTO                1998 12
76644 MERIDA AP, YUC                 2003 12
76644 MERIDA AP, YUC                 2001 12
76644 MERIDA AP, YUC                 1996 12
76654 MANZANILLO, COL                2004 12
76654 MANZANILLO, COL                2002 12
76680 MEXICO (CENTRAL), DF           2005 5
78073 NASSAU AIRPORT                 2002 12
78073 NASSAU AIRPORT                 1997 12
78388 MONTEGO BAY SANGSTER           2002 12
78388 MONTEGO BAY SANGSTER           1995 1
78526 SAN JUAN INTL AP               2005 5
78526 SAN JUAN INTL AP               2003 12
78526 SAN JUAN INTL AP               1995 1
72248 SHREVEPORT AP                  1996 12
72266 ABILENE RGNL AP                2001 12
72266 ABILENE RGNL AP                1998 12
72266 ABILENE RGNL AP                1997 12
72266 ABILENE RGNL AP                1995 1
72270 EL PASO AP                     2002 12
72278 PHOENIX AP                     2005 5
72278 PHOENIX AP                     2003 12
72290 SAN DIEGO WSO AP               1995 1
72304 CAPE HATTERAS AP               2003 12
72304 CAPE HATTERAS AP               1995 1
72312 GRNVL SPART INTL AP            2003 12
72312 GRNVL SPART INTL AP            1996 12
72324 CHATTANOOGA AP                 1997 12
72353 OKLAHOMA CITY WILL ROGERS AP   2005 5
72360 CLAYTON MUNI ARPK AP           1999 6
72386 LAS VEGAS AP                   1995 1
72422 LEXINGTON BLUEGRASS AP         2005 5
72422 LEXINGTON BLUEGRASS AP         2000 12
72422 LEXINGTON BLUEGRASS AP         1995 1
72432 EVANSVILLE REGIONAL AP         2005 5
72445 COLUMBIA RGNL AP               1997 12
72458 CONCORDIA BLOSSER MUNI         2004 12
72458 CONCORDIA BLOSSER MUNI         2001 12
72458 CONCORDIA BLOSSER MUNI         1995 1
72476 GRAND JUNCTION WALKER          2004 12
72476 GRAND JUNCTION WALKER          2003 12
72476 GRAND JUNCTION WALKER          2001 12
72520 PITTSBURGH ASOS                2003 12
72520 PITTSBURGH ASOS                2000 12
72520 PITTSBURGH ASOS                1997 12
72520 PITTSBURGH ASOS                1996 12
72532 PEORIA GTR PEORIA RGNL         2005 5
72562 NORTH PLATTE RGNL AP           2002 12
71842 SIOUX LOOKOUT A, ON            1997 12
71844 BIG TROUT LAKE RDC, ON         2000 12
71844 BIG TROUT LAKE RDC, ON         1999 12
71867 THE PAS A, MB                  2004 12
71869 PRINCE ALBERT A, SK            1998 12
71869 PRINCE ALBERT A, SK            1997 12
71870 SWIFT CURRENT A, SK            1998 12
71906 KUUJJUAQ A, QC                 2005 5
71906 KUUJJUAQ A, QC                 2003 12
71906 KUUJJUAQ A, QC                 1995 1
71907 INUKJUAK, QC                   2005 5
71907 INUKJUAK, QC                   2003 12
71907 INUKJUAK, QC                   1995 1
71909 IQALUIT A, NT                  1995 1
71910 CAPE DORSET A, NT              1999 12
71913 CHURCHILL A, MB                2005 5
71913 CHURCHILL A, MB                2004 12
71915 CORAL HARBOUR A, NT            1995 1
71917 EUREKA, NT                     2003 12
71917 EUREKA, NT                     2001 12
71922 LA RONGE A, SK                 2000 12
71922 LA RONGE A, SK                 1996 12
71924 RESOLUTE A, NT                 1998 12
71924 RESOLUTE A, NT                 1996 12
71924 RESOLUTE A, NT                 1995 1
71925 CAMBRIDGE BAY A, NT            2000 12
71946 FORT SIMPSON A, NT             1995 1
71950 SMITHERS A, BC                 1995 1
71964 WITHEHORSE A, YT               2004 12
71964 WITHEHORSE A, YT               1999 12
72211 TAMPA WSCMO AP                 2002 12
72231 NEW ORLEANS AP                 1999 12
72234 MERIDIAN AP                    1999 12
72234 MERIDIAN AP                    1997 12
70398 ANNETTE WSO AP                 2004 12
70398 ANNETTE WSO AP                 1999 12
71043 NORMAN WELLS A, NT             2000 12
71043 NORMAN WELLS A, NT             1996 12
71066 HIGH LEVEL A, AB               1995 1
71072 MOULD BAY A, NT                1999 12
71072 MOULD BAY A, NT                1997 8
71082 ALERT, NT                      1998 12
71090 CLYDE A, NT                    1998 12
71090 CLYDE A, NT                    1995 1
71095 POND INLET A, NT               2000 12
71095 POND INLET A, NT               1996 12
71101 SANDSPIT AWOS, BC              2004 12
71101 SANDSPIT AWOS, BC              2001 12
71101 SANDSPIT AWOS, BC              1999 12
71101 SANDSPIT AWOS, BC              1998 12
71103 QUESNEL A, BC                  1997 12
71109 PORT HARDY A, BC               2001 12
71109 PORT HARDY A, BC               2000 12
71120 COLD LAKE A, AB                1998 12
71185 DANIEL'S HARBOUR, NF           1995 1
71600 SABLE ISLAND, NS               2004 12
71600 SABLE ISLAND, NS               1995 1
71727 BAGOTVILLE A                   1996 12
71733 GORE BAY A, ON                 2001 12
71733 GORE BAY A, ON                 2000 12
71733 GORE BAY A, ON                 1999 12
71733 GORE BAY A, ON                 1998 12
71733 GORE BAY A, ON                 1997 11
71803 GANDER INT A, NF               1996 12
71811 SEPT-ILES, QC                  2000 12
71811 SEPT-ILES, QC                  1996 12
71813 NATASHQUAN A, QC               1997 12
71813 NATASHQUAN A, QC               1996 12
71816 GOOSE A, NF                    2003 12
71818 CARTWRIGHT A, NF               1998 12
71818 CARTWRIGHT A, NF               1997 12
65585 ADIAKE                         2000 12
65585 ADIAKE                         1997 12
65585 ADIAKE                         1996 12
65599 SASSANDRA                      2000 12
65599 SASSANDRA                      1999 12
67005 DZAOUDZI PAMANZI COM           1998 12
67009 ANTSIRANANA (=DIEGO SU)        2005 5
67009 ANTSIRANANA (=DIEGO SU)        2000 12
67073 MAINTIRANO                     2003 12
67083 ANTANANARIVO IVATO             2003 12
67083 ANTANANARIVO IVATO             1998 12
67095 TOAMASINA (=TAMATAVE)          2003 12
67095 TOAMASINA (=TAMATAVE)          1999 12
67143 MANANJARY                      1997 12
67143 MANANJARY                      1995 1
67161 TOLIARY (=TULEAR)              1997 12
67197 TAOLAGNARO (=F DAUPHIN)        2004 12
67633 MONGU                          2002 12
67633 MONGU                          1995 1
67666 LUSAKA CITY                    1995 1
67743 LIVINGSTONE                    2001 12
67775 HARARE KUTSAGA                 2004 12
67775 HARARE KUTSAGA                 1997 12
68174 PIETERSBURG                    2000 12
68424 UPINGTON                       2005 5
68424 UPINGTON                       1996 12
68438 KIMBERLEY                      2004 12
68438 KIMBERLEY                      2001 12
68438 KIMBERLEY                      2000 12
68438 KIMBERLEY                      1998 12
68618 CALVINIA                       2002 12
68618 CALVINIA                       1998 12
68858 EAST LONDON                    2000 12
68906 GOUGH ISLAND                   2003 12
68906 GOUGH ISLAND                   1997 12
68994 MARION ISLAND                  2001 12
70026 BARROW WSO AP                  2002 12
70133 KOTZEBUE WSO AP                2001 12
70133 KOTZEBUE WSO AP                2000 12
70133 KOTZEBUE WSO AP                1997 12
70133 KOTZEBUE WSO AP                1995 1
70200 NOME WSO AP                    2002 12
70200 NOME WSO AP                    2001 12
70200 NOME WSO AP                    1996 12
70251 TALKEETNA AP                   1996 12
70261 FAIRBANKS INTL AP              2002 12
70308 ST PAUL ISLAND AP              2004 12
70316 THORNBROUGH                    2005 5
70326 NAKNEK                         2003 12
70326 NAKNEK                         2000 12
70361 YAKUTAT AP                     2004 12
64700 NDJAMENA                       2001 12
64700 NDJAMENA                       1995 1
64706 MOUNDOU                        1999 12
65516 BOROMO                         2003 12
65516 BOROMO                         2001 12
65516 BOROMO                         2000 12
65516 BOROMO                         1997 12
65528 ODIENNE                        2002 12
61986 ST. BRANDON                    2003 12
61986 ST. BRANDON                    2001 12
61988 RODRIGUES                      2001 12
61988 RODRIGUES                      2000 12
61990 PLAISANCE                      1999 12
61990 PLAISANCE                      1997 12
61996 MARTIN DE VIVIES               1999 12
61998 PORT-AUX-FRAN                  2004 12
62010 TRIPOLI AP                     2001 12
62010 TRIPOLI AP                     1996 12
62053 BENINA                         1996 12
62124 SEBHA                          1996 12
62131 HON                            1997 12
62271 KUFRA                          1995 1
62306 MERSA MATRUH                   2004 12
62306 MERSA MATRUH                   2002 12
62414 ASSWAN                         1997 12
62600 WADI HALFA                     2001 12
62600 WADI HALFA                     1999 12
62600 WADI HALFA                     1996 12
62650 DONGOLA                        2003 12
62730 KASSALA                        1998 12
62760 EL FASHER                      2001 12
62760 EL FASHER                      2000 12
62770 GENEINA                        1999 12
62781 EN NAHUD                       2001 12
62781 EN NAHUD                       2000 12
63832 TABORA AP                      1998 12
63862 DODOMA                         2002 12
63862 DODOMA                         1999 12
63962 SONGEA                         2004 12
60611 IN AMENAS                      2003 12
60611 IN AMENAS                      2002 12
60680 TAMANRASSET                    2005 5
60680 TAMANRASSET                    2003 12
60680 TAMANRASSET                    2000 12
60680 TAMANRASSET                    1999 12
60725 JENDOUBA                       2003 12
60725 JENDOUBA                       2001 12
60725 JENDOUBA                       1997 12
61017 BILMA                          2004 12
61017 BILMA                          2002 12
61017 BILMA                          2001 12
61017 BILMA                          1999 12
61043 TAHOUA                         2005 5
61096 MAINE-SOROA                    2001 12
61223 TOMBOUCTOU                     2005 5
61223 TOMBOUCTOU                     2000 12
61415 NOUADHIBOU                     2004 12
61415 NOUADHIBOU                     2003 12
61421 ATAR                           1997 12
61450 TIDJIKJA                       1997 12
61497 NEMA                           1999 12
61641 DAKAR YOFF                     2003 12
61641 DAKAR YOFF                     1996 12
61687 TAMBACOUNDA                    2003 12
61687 TAMBACOUNDA                    1997 12
61902 ASCENSION ISLAND ASC           2004 12
51076 ALTAY                          2004 12
51777 RUOQIANG                       1999 12
51777 RUOQIANG                       1997 12
51828 HOTAN                          2005 5
51828 HOTAN                          1997 12
51828 HOTAN                          1995 1
52203 HAMI                           2004 12
52203 HAMI                           1998 12
52533 JIUQUAN                        2002 12
52533 JIUQUAN                        2000 12
52533 JIUQUAN                        1995 1
52889 LANZHOU                        2003 12
52889 LANZHOU                        1997 12
53614 YINCHUAN                       1999 12
53772 TAIYUAN                        1998 12
54342 SHENYANG                       2002 12
54342 SHENYANG                       1998 12
54511 BEIJING                        2002 12
54511 BEIJING                        2001 12
54857 QINGDAO                        2000 12
56294 CHENGDU                        2003 12
56294 CHENGDU                        2002 12
56571 XICHANG                        2001 12
56739 TENGCHONG                      2000 12
56739 TENGCHONG                      1996 12
56985 MENGZI                         1999 12
56985 MENGZI                         1996 12
56985 MENGZI                         1995 1
57036 XI'AN                          2004 12
57036 XI'AN                          1997 12
57083 ZHENGZHOU                      2005 5
57083 ZHENGZHOU                      2004 12
57083 ZHENGZHOU                      1996 12
57461 YICHANG                        1995 1
58362 SHANGHAI                       2000 12
58362 SHANGHAI                       1996 12
58606 NANCHANG                       2003 12
58606 NANCHANG                       2002 12
59287 GUANGZHOU                      2004 12
60010 IZANA, CAN                     1997 12
60040 LANZAROTE AP CAN               2001 12
60265 OUARZAZATE                     1997 12
60390 DAR-EL-BEIDA                   2004 12
60390 DAR-EL-BEIDA                   2003 12
47401 WAKKANAI                       2003 12
47420 NEMURO                         2004 12
47582 AKITA                          1999 12
47600 WAJIMA                         2004 12
47600 WAJIMA                         2001 12
47600 WAJIMA                         1998 12
47600 WAJIMA                         1997 12
47600 WAJIMA                         1996 12
47600 WAJIMA                         1995 1
47648 CHOSHI                         2002 12
47778 SHIONOMISAKI                   2004 12
47778 SHIONOMISAKI                   2001 12
47778 SHIONOMISAKI                   1998 12
47815 OITA                           2000 12
47817 NAGASAKI                       2002 12
47927 MIYAKOJIMA                     2000 12
47936 NAHA                           2005 5
47936 NAHA                           2002 12
47936 NAHA                           1998 12
47945 MINAMIDAITOJIMA                2004 12
47945 MINAMIDAITOJIMA                1999 12
47945 MINAMIDAITOJIMA                1997 12
47971 CHICHIJIMA                     2003 12
47971 CHICHIJIMA                     2002 12
47971 CHICHIJIMA                     1997 12
47991 MARCUS ISLAND WB               1999 12
47991 MARCUS ISLAND WB               1998 12
48042 MANDALAY                       1996 12
48568 SONGKHLA                       1998 12
42671 SAGAR                          2002 12
42731 DWARKA                         2000 12
42731 DWARKA                         1997 12
43063 PUNE                           2002 12
43063 PUNE                           1995 1
43128 HYDERABAD AP                   2003 12
43279 CHENNAI MINAMBAKKAM            2003 12
43295 BANGALORE                      2004 12
43295 BANGALORE                      1998 12
43295 BANGALORE                      1996 12
43363 PAMBAN                         1995 1
43497 HAMBANTOTA                     1997 12
43497 HAMBANTOTA                     1995 1
44212 ULAAN-GOM                      2000 12
44218 HOVD                           1996 12
44272 ULIASTAI                       2000 12
44272 ULIASTAI                       1995 1
44341 MANDALGOBI                     2004 12
44373 DALANZADGAD                    2001 12
44373 DALANZADGAD                    1997 12
44373 DALANZADGAD                    1996 12
44454 KATHMANDU AIRPORT              1998 12
47014 CHUNGGANG                      2004 12
47014 CHUNGGANG                      1997 12
47112 INCHON                         1998 12
47112 INCHON                         1996 12
47115 ULLUNGDO                       2003 12
40856 ZAHEDAN                        2004 12
41150 BAHRAIN AP                     1999 12
41288 MASIRAH                        2000 12
41316 SALALAH                        2005 5
41560 PARACHINAR                     1995 1
41620 ZHOB                           2002 12
41620 ZHOB                           2001 12
41640 LAHORE CITY                    1999 12
41640 LAHORE CITY                    1998 12
41640 LAHORE CITY                    1996 12
41640 LAHORE CITY                    1995 1
41712 DAL BANDIN                     2004 12
41765 HYDERABAD                      1995 1
42027 SRINAGAR                       2004 12
42027 SRINAGAR                       2001 12
42165 BIKANER                        2000 12
42182 NEW DELHI SAFDARJUNG           2005 5
42182 NEW DELHI SAFDARJUNG           2004 12
42295 DARJEELING                     1997 12
42410 GUWAHATI                       1998 12
42515 CHERRAPUNJI                    2004 12
42515 CHERRAPUNJI                    1998 12
42515 CHERRAPUNJI                    1997 12
42587 DALTONGANJ                     1998 12
42587 DALTONGANJ                     1997 12
42587 DALTONGANJ                     1995 1
38001 FORT SEVCENKO                  2004 12
38262 CIMBAJ                         2004 12
38262 CIMBAJ                         2001 12
38403 BUZAUBAJ                       2002 9
38413 TAMDY                          2001 12
38413 TAMDY                          1999 12
38457 TASHKENT                       2005 5
38457 TASHKENT                       2003 12
38457 TASHKENT                       1995 1
38507 TURKMENBASHI (KRASNOVOD)       2001 12
38507 TURKMENBASHI (KRASNOVOD)       1999 12
38611 NAMANGAN                       2003 11
38696 SAMARKAND                      2003 10
40001 KAMISHLI                       2001 12
40022 LATTAKIA                       1997 12
40022 LATTAKIA                       1995 1
40199 EILAT                          1997 12
40361 AL-JOUF                        2002 12
40361 AL-JOUF                        2001 12
40430 MADINAH                        2004 12
40438 RIYADH                         2001 12
40582 KUWAIT AP                      2004 12
40706 TABRIZ                         2004 12
40706 TABRIZ                         1999 12
40706 TABRIZ                         1997 12
40706 TABRIZ                         1995 1
40745 MASHHAD                        2004 12
40745 MASHHAD                        1997 12
40754 TEHRAN-MEHRABAD                1998 12
40841 KERMAN                         2002 12
40848 SHIRAZ                         2003 12
40848 SHIRAZ                         2001 12
31253 BOMNAK                         2005 5
31253 BOMNAK                         2000 12
31369 NIKOLAEVSK-NA-AMURE            2002 12
31369 NIKOLAEVSK-NA-AMURE            1999 12
31416 IM POLINY OSIPENKO             1997 12
31416 IM POLINY OSIPENKO             1996 12
31960 VLADIVOSTOK                    2004 12
31960 VLADIVOSTOK                    1996 12
32150 JUZHNO-SAHALINSK               2003 12
34123 VORONEZ                        2000 12
34123 VORONEZ                        1999 12
34880 ASTRAHAN'                      2005 5
34880 ASTRAHAN'                      2004 12
35108 URALSK                         2001 12
35394 KARAGANDA                      2000 12
35925 SAM                            1997 12
35925 SAM                            1996 12
36177 SEMIPALATINSK                  1996 12
36535 KOKPEKTY                       1998 12
36859 PANFILOV                       2001 12
23472 TURUHANSK                      2003 12
23472 TURUHANSK                      1998 12
23472 TURUHANSK                      1996 12
23933 HANTY-MANSIJSK                 2001 12
24125 OLENEK                         2000 12
24125 OLENEK                         1999 12
24143 DZARDZAN                       2002 12
24507 TURA                           1996 12
24641 VILJUJSK                       2001 12
24641 VILJUJSK                       1997 12
24641 VILJUJSK                       1996 12
24688 OJMJAKON                       2000 12
24688 OJMJAKON                       1999 12
24738 SUNTAR                         1996 12
24959 JAKUTSK                        2000 12
25248 ILIRNEJ                        1995 1
25325 UST'-OLOJ                      2001 12
25325 UST'-OLOJ                      2000 12
25399 MYS UELEN                      1995 1
25563 ANADYR'                        1997 12
25563 ANADYR'                        1995 1
25744 KAMENSKOE                      2003 12
25744 KAMENSKOE                      1997 12
25744 KAMENSKOE                      1995 1
25954 KORF                           2001 12
25954 KORF                           2000 12
26063 ST PETERSBURG                  2005 5
26063 ST PETERSBURG                  2004 12
26063 ST PETERSBURG                  2000 12
26063 ST PETERSBURG                  1999 12
27037 VOLOGDA                        2005 5
27037 VOLOGDA                        1999 12
27595 KAZAN'                         2004 12
27595 KAZAN'                         1999 12
27612 MOSKVA                         2002 12
28224 PERM'RS                        1997 12
28275 TOBOL'SK                       2003 12
28275 TOBOL'SK                       1998 12
28275 TOBOL'SK                       1995 1
28952 KUSTANAI                       1998 12
29231 KOLPASEVO                      2004 12
29282 BOGUCANY                       2004 12
29282 BOGUCANY                       1998 12
29570 KRASNOJARSK OPYTNOE POLE       2000 12
29570 KRASNOJARSK OPYTNOE POLE       1998 12
29807 IRTYSSK                        1997 12
29866 MINUSINSK                      1998 12
29866 MINUSINSK                      1997 12
30054 VITIM                          2002 12
30054 VITIM                          2000 12
30054 VITIM                          1999 12
30054 VITIM                          1998 12
30309 BRATSK                         1999 12
30710 IRKUTSK                        2004 12
30710 IRKUTSK                        1998 12
30758 CHITA                          2003 12
31004 ALDAN                          2005 5
31004 ALDAN                          2004 12
31168 AJAN                           2002 12
31168 AJAN                           1999 12
31168 AJAN                           1997 12
16746 SOUDA                          1998 12
17040 RIZE                           1995 1
17074 KASTAMONU                      2003 12
17074 KASTAMONU                      1999 12
17074 KASTAMONU                      1996 12
17090 SIVAS                          2002 12
17090 SIVAS                          2001 12
17090 SIVAS                          2000 12
20069 OSTROV VIZE                    2002 12
20069 OSTROV VIZE                    2001 12
20292 GMO IM.E.K. FEDOROVA           2005 5
20292 GMO IM.E.K. FEDOROVA           1999 12
20674 OSTROV DIKSON                  2002 12
20891 HATANGA                        2001 12
20891 HATANGA                        2000 12
20891 HATANGA                        1999 12
21432 OSTROV KOTEL'NYJ               2004 12
21432 OSTROV KOTEL'NYJ               1998 12
21946 COKURDAH                       2004 12
22113 MURMANSK                       2003 12
22113 MURMANSK                       2002 12
22550 ARHANGEL'SK                    1996 12
22602 REBOLY                         1998 12
22602 REBOLY                         1995 1
22837 VYTEGRA                        2001 12
23205 NAR'JAN-MAR                    1999 12
11934 POPRAD TATRY                   1999 12
11934 POPRAD TATRY                   1998 12
12120 LEBA                           2004 12
12120 LEBA                           2000 12
12942 PECS                           2005 5
12942 PECS                           2004 12
12942 PECS                           2000 12
15085 BISTRITA                       1999 12
16597 LUQA                           1999 12
16641 KERKYRA                        1997 12
08535 LISBOA GEOFISICA               2005 5
08535 LISBOA GEOFISICA               1996 12
10147 HAMBURG FUHLSBUETTEL           2005 5
10393 LINDENBERG                     1997 12
10393 LINDENBERG                     1995 1
11146 SONNBLICK                      2005 5
11146 SONNBLICK                      1997 12
11146 SONNBLICK                      1996 12
07190 STRASBOURG                     2004 12
07255 BOURGES                        1998 12
07255 BOURGES                        1996 12
07630 TOULOUSE BLAGNAC               1996 12
07650 MARSEILLE MARIGNANE            1995 1
08027 SAN SEBASTIAN IGUELO           1996 12
08181 BARCELONA AP EL PRAT           2002 12
08181 BARCELONA AP EL PRAT           2000 12
08202 SALAMANCA MATACAN              2001 12
08202 SALAMANCA MATACAN              1998 12
08215 NAVACERRADA                    2003 12
08215 NAVACERRADA                    1998 12
08280 ALBACETE LOS LLANOS            1999 12
08280 ALBACETE LOS LLANOS            1997 12
08513 PONTA DELGADA                  2003 12
08522 FUNCHAL MDE                    1996 12
04320 DANMARKSHAVN                   1996 12
04360 ANGMAGSSALIK                   2002 12
04360 ANGMAGSSALIK                   2001 12
17062 ISTANBUL GOZTEPE               2004 12
17062 ISTANBUL GOZTEPE               2001 12
30554 BAGDARIN                       2000 12
30554 BAGDARIN                       1999 12
82410 BENJAMIN CONSTANT              2002 12
91954 TUBUAI                         2005 5
91954 TUBUAI                         2002 12
98429 NINOY AQUINO                   2003 12
98429 NINOY AQUINO                   2001 12
98429 NINOY AQUINO                   2000 12
98429 NINOY AQUINO                   1996 12
04390 PRINS CHRISTIAN SUND           1998 12
04390 PRINS CHRISTIAN SUND           1996 12
06011 THORSHAVN                      2003 12
06011 THORSHAVN                      2002 12
06011 THORSHAVN                      2001 12
06011 THORSHAVN                      1999 12
06011 THORSHAVN                      1998 12
06260 DE BILT                        2005 5
06260 DE BILT                        1998 12
06260 DE BILT                        1995 1
01001 JAN MAYEN                      2000 12
01008 SVALBARD LUFTHAVN              1995 1
01028 BJORNOYA                       1999 12
01152 BODO VI                        2004 12
02080 KARESUANDO                     1999 12
02196 HAPARANDA                      2002 12
02226 OSTERSUND/FROSON               2004 12
02226 OSTERSUND/FROSON               2002 12
02361 HARNOSAND                      2005 12
02361 HARNOSAND                      2004 12
02361 HARNOSAND                      1997 12
02418 KARLSTAD FP                    2005 12
02418 KARLSTAD FP                    2001 12
02512 GOTEBORG/SAVE                  2005 12
02512 GOTEBORG/SAVE                  2001 12
02512 GOTEBORG/SAVE                  2000 12
02512 GOTEBORG/SAVE                  1999 12
02590 VISBY                          2000 12
02836 SODANKYLA                      2004 12
02836 SODANKYLA                      2003 12
02836 SODANKYLA                      2002 12
02836 SODANKYLA                      2001 12
02935 JYVASKYLA                      2000 12
02935 JYVASKYLA                      1997 12
02963 JOKIOINEN                      2005 5
02963 JOKIOINEN                      1999 12
02963 JOKIOINEN                      1995 1
03026 STORNOWAY                      2001 12
03162 ESKDALEMUIR                    2004 12
03162 ESKDALEMUIR                    2002 12
03162 ESKDALEMUIR                    2001 12
03162 ESKDALEMUIR                    1995 1
03302 VALLEY                         2001 12
03302 VALLEY                         1997 12
03302 VALLEY                         1996 12
03377 WADDINGTON                     2005 5
03377 WADDINGTON                     1995 1
03953 VALENTIA OBSERVATORY           1999 12
03980 MALIN HEAD                     2003 12
03980 MALIN HEAD                     2001 12
03980 MALIN HEAD                     1998 12
04063 AKUREYRI                       2004 12
04063 AKUREYRI                       2001 12
04063 AKUREYRI                       1995 1
04210 UPERNAVIK                      2001 12
04250 GODTHAB NUUK                   2005 5
04250 GODTHAB NUUK                   2001 12
91334 TRUK, CRL                      2005 5
91348 PONAPE, CRL                    1997 12
91408 KOROR, PLW                     2003 12
91408 KOROR, PLW                     2002 12
91413 YAP, CRL                       2000 12
91631 NANUMEA                        1997 12
94101 KALUMBURU                      1999 12
94101 KALUMBURU                      1996 12
94131 TINDAL AWS                     2001 2
94259 BURKETOWN                      2001 2
94259 BURKETOWN                      2000 12
94275 GEORGETOWN                     2002 12
94275 GEORGETOWN                     1996 12
94482 BIRDSVILLE                     1998 12
94482 BIRDSVILLE                     1996 12
94485 TIBOOBURRA                     2000 12
94485 TIBOOBURRA                     1998 12
94485 TIBOOBURRA                     1996 12
94485 TIBOOBURRA                     1995 1
94492 THARGOMINDAH                   2001 2
94492 THARGOMINDAH                   1999 12
94492 THARGOMINDAH                   1998 12
94492 THARGOMINDAH                   1996 12
94517 ST GEORGE                      2000 12
94541 INVERELL                       1998 12
94589 YAMBA                          1998 12
94670 SNOWTOWN                       2001 2
94689 BROKEN HILL                    1998 12
94784 TAREE                          1999 12
94784 TAREE                          1995 1
94869 DENILIQUIN                     1999 12
94937 MORUYA HEADS                   1998 12
94937 MORUYA HEADS                   1997 12
94967 CAPE BRUNY                     1996 12
95322 RABBIT FLAT                    2001 12
95322 RABBIT FLAT                    1996 12
95322 RABBIT FLAT                    1995 1
95719 DUBBO                          1995 1
95753 RICHMOND AWS                   2002 12
95753 RICHMOND AWS                   2000 12
95916 CABRAMURRA                     1995 1
95964 LOW HEAD                       1997 12
02120 KVIKKJOKK-ARRENJARKA           1996 12
02120 KVIKKJOKK-ARRENJARKA           1995 1
02410 MALUNG                         1998 12
02410 MALUNG                         1996 12
02127 STENSELE                       1995 1
26406 LIEPAJA                        2001 12
33038 VASILEVICI                     2002 12
62420 BAHARIA                        1998 12
71051 SACHS HARBOUR, NT              2002 12
71051 SACHS HARBOUR, NT              2000 12
71074 ISACHSEN (AUT), NT             1999 11
71160 FORT RELIANCE (AUT),NT         1997 12
71721 MANIWAKI (AUT), QC             1996 12
71918 PELLY BAY, NT                  1998 4
78367 GUANTANAMO                     2002 12
78367 GUANTANAMO                     2001 12
91285 HILO INTL AP 87                1998 12
91165 LIHUE WSO AP 1020.1            2000 12
91165 LIHUE WSO AP 1020.1            1999 12
02288 HOLMOGADD                      2000 12
02584 GOTSKA SANDON                  2003 12
07560 MONT AIGOUAL                   1997 12
12385 SIEDLCE                        1997 12
98444 LEGASPI                        1995 1
